departure_airport,arrival_airport,departure_datetime,arrival_datetime,flight_number
JFK,ORD,2025-07-06 23:00:00,2025-07-07 02:58:00,B6405
FLL,EWR,2025-07-06 23:00:00,2025-07-07 02:00:00,B6706
EWR,PBI,2025-07-06 23:00:00,2025-07-07 02:05:00,B6143
JFK,BNA,2025-07-06 23:00:00,2025-07-07 02:47:00,B6473
RDU,BOS,2025-07-06 23:05:00,2025-07-07 01:08:00,B61484
PBI,EWR,2025-07-06 23:06:00,2025-07-07 02:00:00,B6144
JFK,PSE,2025-07-06 23:06:00,2025-07-07 03:19:00,B6745
MCO,JFK,2025-07-06 23:08:00,2025-07-07 02:02:00,B6884
FLL,BOS,2025-07-06 23:10:00,2025-07-07 02:29:00,B6470
BOS,PBI,2025-07-06 23:10:00,2025-07-07 02:23:00,B62421
DCA,FLL,2025-07-06 23:12:00,2025-07-07 01:49:00,B61979
FLL,LGA,2025-07-06 23:18:00,2025-07-07 02:14:00,B6572
PHL,FLL,2025-07-06 23:20:00,2025-07-07 02:17:00,B6217
JFK,FLL,2025-07-06 23:25:00,2025-07-07 02:50:00,B62101
TPA,BOS,2025-07-06 23:29:00,2025-07-07 02:39:00,B6392
JFK,RDU,2025-07-06 23:29:00,2025-07-07 01:28:00,B6185
FLL,ALB,2025-07-06 23:30:00,2025-07-07 02:37:00,B688
FLL,SJU,2025-07-06 23:30:00,2025-07-07 02:12:00,B61245
EWR,LAX,2025-07-06 23:30:00,2025-07-07 08:33:00,B62073
BOS,RSW,2025-07-06 23:35:00,2025-07-07 02:59:00,B6265
HPN,MCO,2025-07-06 23:35:00,2025-07-07 02:18:00,B6195
RIC,MCO,2025-07-06 23:35:00,2025-07-07 01:40:00,B6769
FLL,LAS,2025-07-06 23:36:00,2025-07-07 07:39:00,B6607
BOS,FLL,2025-07-06 23:40:00,2025-07-07 03:08:00,B6369
JFK,FLL,2025-07-06 23:40:00,2025-07-07 02:59:00,B62201
BOS,MCO,2025-07-06 23:40:00,2025-07-07 02:58:00,B6251
JFK,SJU,2025-07-06 23:40:00,2025-07-07 03:54:00,B6903
JFK,MCO,2025-07-06 23:40:00,2025-07-07 02:49:00,B62583
BOS,DTW,2025-07-06 23:43:00,2025-07-07 01:57:00,B61337
MCO,BOS,2025-07-06 23:45:00,2025-07-07 02:55:00,B61952
BOS,SJU,2025-07-06 23:45:00,2025-07-07 03:51:00,B6561
MCO,HPN,2025-07-06 23:45:00,2025-07-07 02:42:00,B61294
JAX,BOS,2025-07-06 23:49:00,2025-07-07 02:30:00,B6810
TPA,SJU,2025-07-06 23:50:00,2025-07-07 02:54:00,B61751
FLL,JFK,2025-07-06 23:50:00,2025-07-07 02:46:00,B62102
SJU,TPA,2025-07-06 23:55:00,2025-07-07 02:55:00,B62752
FLL,RIC,2025-07-06 23:55:00,2025-07-07 02:16:00,B61146
ATL,BOS,2025-07-06 23:55:00,2025-07-07 02:38:00,B61308
CHS,BOS,2025-07-06 23:55:00,2025-07-07 02:18:00,B62468
JFK,ATL,2025-07-06 23:55:00,2025-07-07 02:40:00,B6719
LGA,PBI,2025-07-06 23:59:00,2025-07-07 02:59:00,B61761
MCO,EWR,2025-07-06 23:59:00,2025-07-07 02:48:00,B62128
HPN,FLL,2025-07-07 00:00:00,2025-07-07 02:59:00,B6613
EWR,MCO,2025-07-07 00:00:00,2025-07-07 02:57:00,B61827
